idx,metaphors,expected,token_str,score
134,"Anusha is a _ peacock, who always looking into the mirror.",proud,"['proud', 'beautiful', 'white', 'graceful', 'magnificent']","[0.7700107097625732, 0.0431229136884212, 0.0246486142277717, 0.0149242840707302, 0.0120653128251433]"
135,The clock struck midnight and the sky was _ ink.,black,"['black', 'dark', 'thick', 'red', 'like']","[0.6977508068084717, 0.0764042660593986, 0.0294141378253698, 0.023762073367834, 0.0104459095746278]"
136,My teahcer is a _ clown.,funny,"['clown', 'circus', 'laughing', 'funny', 'foul']","[0.1598669588565826, 0.1407549828290939, 0.0236737746745347, 0.0234016478061676, 0.0225459821522235]"
137,The lake is _ glass right now.,clear,"['all', 'looking', 'like', 'sea', 'stained']","[0.2597253918647766, 0.1137122809886932, 0.0329729542136192, 0.0306252297013998, 0.0269975364208221]"
138,The woodcutter's eyes were _ moon when he saw the hidden treasure in the cave.,bright,"['full', 'crescent', 'half', 'the', 'bright']","[0.4969965517520904, 0.1513268053531646, 0.1207853630185127, 0.0573722496628761, 0.019086068496108]"
139,They boy was a _ rocket as he sped by on his bicycle.,fast,"['freaking', 'tandem', 'teenage', 'motor', 'rocket']","[0.0674112439155578, 0.0610137023031711, 0.0391641370952129, 0.0364006981253623, 0.0354790650308132]"
140,The streetlights were _ stars.,bright,"['bright', 'like', 'shooting', 'throwing', 'glittering']","[0.1621485650539398, 0.0831364467740058, 0.0698174238204956, 0.0575688146054744, 0.0231424570083618]"
141,Her temper was an _ bomb.,explosive,"['atomic', 'explosive', 'atom', 'electronic', 'air']","[0.3621035814285278, 0.0949546843767166, 0.0525160320103168, 0.0263406671583652, 0.0197211764752864]"
142,Jan was an _ quickly diving into the water. ,effortless,"['idiot', 'embarrassment', 'athlete', 'indian', 'infant']","[0.0875651463866233, 0.0447691343724727, 0.0397529266774654, 0.0376773923635482, 0.0364171527326107]"
143,The girl was a _ lamb.,gentle,"['gentle', 'modest', 'loyal', 'perfect', 'stubborn']","[0.6203234791755676, 0.0708082765340805, 0.0314927399158477, 0.0284421239048242, 0.0117586217820644]"
144,We should ask Lina for her advice as she is a _ owl.,wise,"['wise', 'guardian', 'blind', 'owl', 'night']","[0.9955482482910156, 0.0011541431304067, 0.0003855086106341, 0.0002884689311031, 0.0002300965279573]"
145,The room is a _ furnace. Quickly switch on the fan!,hot,"['blast', 'hot', 'fiery', 'smoking', 'blazing']","[0.6223083138465881, 0.150850161910057, 0.0588836036622524, 0.0186929162591695, 0.0159204136580228]"
146,Ellana's hair is the _ sky at midnight.,dark,"['night', 'midnight', 'blue', 'dark', 'black']","[0.4368192255496979, 0.1911288797855377, 0.1510808020830154, 0.0622552521526813, 0.0465641506016254]"
147,Max's personality is a box of _ crayons.,colorful,"['colorful', 'colored', 'overlapping', 'color', 'paper']","[0.7416825890541077, 0.0253229402005672, 0.0081023089587688, 0.0061372932977974, 0.0051274797879159]"
148,Ted was a _ mouse in a room full of cats.,nervous,"['quiet', 'shy', 'poor', 'nervous', 'lone']","[0.1502821594476699, 0.0681254714727401, 0.0628318712115287, 0.0434398017823696, 0.0352922864258289]"
149,My sister is a _ schoolgirl when she meets strangers .,shy,"['shy', 'confused', 'typical', 'naughty', 'spoiled']","[0.77422696352005, 0.0322103947401046, 0.0179009940475225, 0.0136267635971307, 0.0085779726505279]"
150,My mom can be a _ volcano when I don't do my chores on time.,fiery,"['fiery', 'raging', 'fierce', 'fire', 'red']","[0.5204389095306396, 0.034176867455244, 0.0301392413675785, 0.0223580803722143, 0.0201476477086544]"
151,The road is a _ arrow.,straight,"['straight', 'sharp', 'crooked', 'single', 'fixed']","[0.9873265624046326, 0.0024131298996508, 0.0005228029913268, 0.0004217941313982, 0.000325857050484]"
152,The kids were _ race cars on the sleds speeding down the snowy hill.,fast,"['pushing', 'riding', 'in', 'racing', 'chasing']","[0.2925244271755218, 0.137741282582283, 0.0858199670910835, 0.0643649473786354, 0.0607294924557209]"
153,Imraan was a _ bee running around.,busy,"['busy', 'bee', 'buzzing', 'worker', 'queen']","[0.9791614413261414, 0.0039956262335181, 0.0032472747843712, 0.0022496045567095, 0.001463436638005]"
154,"When school finished, I was a _ bird.",free,"['free', 'busy', 'poor', 'cage', 'happy']","[0.8479126691818237, 0.0200192127376794, 0.0185240358114242, 0.0119069255888462, 0.0069987224414944]"
155,Croaking frogs werea a _ marching band.,large,"['regular', 'marching', '[PAD]', 'trained', 'large']","[0.2498522698879242, 0.0508102625608444, 0.0445894114673137, 0.0315833799540996, 0.0249969642609357]"
156,"You can't break that chair, it's a _ brick.",hard,"['solid', 'hard', 'giant', 'worthless', 'crushed']","[0.3499565720558166, 0.1510041356086731, 0.0482704974710941, 0.0434018112719059, 0.0305320378392934]"
157,The sun is not shining today. The sky is _ midnight.,dark,"['nearing', 'near', 'at', 'nearly', 'past']","[0.2180755585432052, 0.1741570681333542, 0.120331272482872, 0.0860165655612945, 0.0858123898506164]"
158,Your face is a _ fire engine.,red,"['red', 'raging', 'fiery', 'hot', 'roaring']","[0.435166984796524, 0.2015069276094436, 0.0391939841210842, 0.0386014655232429, 0.0300045069307088]"
159,My 80-years-old grandpa's hair has all fallen out. He is a _ egg.,bald,"['nest', 'rotten', 'bald', 'boiled', 'scrambled']","[0.2951282262802124, 0.1037538945674896, 0.0512112081050872, 0.0412839092314243, 0.0379808880388736]"
160,This waiting room is a _ freezer box!,cold,"['cold', 'giant', 'frozen', 'locked', 'freeze']","[0.4649596214294433, 0.1728975772857666, 0.1721842736005783, 0.0368304885923862, 0.0163457375019788]"
161,"When the teacher saw the kids begin to have a glitter fight, she was a _ cheetah leaping across the room. ",fast,"['fast', 'agile', 'fierce', 'graceful', 'giant']","[0.5468148589134216, 0.0336432568728923, 0.0307415165007114, 0.0248313602060079, 0.0169236529618501]"
162,The thunder was _ fireworks.,loud,"['like', 'all', '[PAD]', 'pure', 'mostly']","[0.4577952325344085, 0.0409228317439556, 0.0299343429505825, 0.0180982965975999, 0.0140497805550694]"
163,The rose petals were _ silk.,delicate,"['smooth', 'white', 'delicate', 'like', 'ivory']","[0.5904335379600525, 0.0783475115895271, 0.0425231754779815, 0.0418882742524147, 0.0274699255824089]"
164,Encik Jamal has been driving all day and he doesn't stop for lunch. He is now a _ hunter.,hungry,"['bounty', 'vampire', 'deer', 'treasure', 'hunter']","[0.7852380871772766, 0.0423278883099556, 0.0278219580650329, 0.017939668148756, 0.0162842012941837]"
165,Leighton was a _ princess in her costume.,pretty,"['pretty', 'crowned', 'princess', 'complete', 'royal']","[0.080470472574234, 0.0724630430340766, 0.0548604987561702, 0.0542118959128856, 0.0534433834254741]"
166,The ocean's waves were _ roaring lions.,loud,"['like', 'fierce', 'loud', 'giant', 'roaring']","[0.7467480301856995, 0.0294804256409406, 0.0189437922090291, 0.0123084522783756, 0.0097357388585805]"
167,Bill's mood is _ vinegar.,sour,"['sour', 'pure', 'slightly', 'bitter', 'like']","[0.4157058894634247, 0.1155312955379486, 0.0428778491914272, 0.0388389304280281, 0.0189578328281641]"
168,That man is a _ giant. He is selected for the basketball team.,tall,"['physical', 'tall', 'physically', 'muscular', 'towering']","[0.4269790351390838, 0.0806627422571182, 0.0468035750091075, 0.027684036642313, 0.0256148446351289]"
169,The performer on the stage is an _ monkey.,agile,"['agile', 'orange', 'ape', 'enormous', 'african']","[0.2034431248903274, 0.0719572454690933, 0.046340238302946, 0.0290451180189847, 0.0216418001800775]"
170,The cake was a _ snowflake.,light,"['perfect', 'fluffy', 'chocolate', 'light', 'giant']","[0.395002156496048, 0.0625285804271698, 0.0477597452700138, 0.04209640994668, 0.040824044495821]"
171,The lettuce was a _ early fall morning.,crisp,"['crisp', 'beautiful', 'lovely', 'perfect', 'bright']","[0.4811214208602905, 0.0899987518787384, 0.0431522764265537, 0.0377287156879901, 0.0295163635164499]"
172,Adam is just recovered from his illness. He is a _ sheet.,pale,"['pale', 'clean', 'white', 'bed', 'sweat']","[0.3220458924770355, 0.1325211524963379, 0.0931569933891296, 0.0348346307873725, 0.0184434745460748]"
173,Those palace guards barely moved. They are _ statues.,still,"['living', 'like', 'marble', 'statue', 'stone']","[0.1299716383218765, 0.1249777227640152, 0.071858525276184, 0.0613737665116786, 0.0481001064181327]"
174,The fishmonger was an _ bull when he realised that his neighbour's cat was stealing his fish every day.,angry,"['angry', 'iron', 'enraged', 'injured', 'old']","[0.6794747114181519, 0.0542417429387569, 0.0268468223512172, 0.0242858156561851, 0.0160628482699394]"
175,The desert sand was the _ setting sun.,orange,"['only', 'perfect', 'orange', 'freshly', 'newly']","[0.1525353789329528, 0.1145684272050857, 0.0713783279061317, 0.0600176192820072, 0.0569801554083824]"
176,The computers at school are _ dinosaurs.,old,"['dinosaur', 'dinosaurs', 'like', 'all', '[PAD]']","[0.3608921766281128, 0.1149849668145179, 0.0358810611069202, 0.0351357534527778, 0.031208986416459]"
177,The street was a _ stove.,hot,"['hot', 'gas', 'smoking', 'stove', 'wood']","[0.1803386509418487, 0.1153522506356239, 0.0787596330046653, 0.0441246517002582, 0.0282654277980327]"
178,The bus is a _ tortoise. We may not be there on time.,slow,"['giant', 'slow', 'dead', 'heavy', 'fast']","[0.2481729835271835, 0.1816174536943435, 0.0225614048540592, 0.0176077932119369, 0.0163827985525131]"
179,The road was a _ ice rink.,slippery,"['frozen', 'giant', 'large', 'outdoor', 'slippery']","[0.1596403270959854, 0.1378727555274963, 0.1052773892879486, 0.1027126908302307, 0.0577339231967926]"
180,Anita was a _ baby because no one is willing to help her in the science project.,helpless,"['helpless', 'poor', 'weak', 'spoiled', 'difficult']","[0.605194628238678, 0.1348356455564499, 0.0470178760588169, 0.0200110115110874, 0.0150236319750547]"
181,My room is a _ pigsty.,filthy,"['filthy', 'complete', 'giant', 'foul', 'dry']","[0.1508298367261886, 0.0461347177624702, 0.0365590006113052, 0.0350953340530395, 0.0323814488947391]"
182,The beef was _ leather. I could not chew it.,tough,"['tough', 'raw', 'boiled', 'smooth', 'rough']","[0.1464605778455734, 0.1430322080850601, 0.1307562440633773, 0.0507420487701892, 0.0361577607691288]"
183,The children were _ falling snow.,quiet,"['already', 'gathering', '[PAD]', 'still', 'now']","[0.1642508059740066, 0.0451370626688003, 0.0377856120467186, 0.0357875451445579, 0.0309248603880405]"
184,Our classroom is a _ zoo today.,chaotic,"['zoo', 'complete', 'busy', 'wild', 'freaking']","[0.0842562690377235, 0.0785423666238784, 0.0764523297548294, 0.0466105639934539, 0.0393920578062534]"
185,The books were _ whale.,heavy,"['[PAD]', 'from', 'about', 'on', 'stuffed']","[0.1726714223623275, 0.105451613664627, 0.0386402457952499, 0.0332602821290493, 0.0218918491154909]"
186,The champion for the 100-meter race is a _ deer.,fast,"['roe', 'red', 'mule', 'spotted', 'shooting']","[0.5475096106529236, 0.0484460294246673, 0.0348563678562641, 0.0326169766485691, 0.0187242459505796]"
187,She is an _ angel.,innocent,"['innocent', 'angel', 'archangel', 'earth', 'evil']","[0.5229593515396118, 0.167167454957962, 0.0265427976846694, 0.0235213581472635, 0.0135013191029429]"
188,Adib was a _ toad as he never lifted a finger to help with chores at home or at school.,lazy,"['lazy', 'toad', 'stubborn', 'persistent', 'gentle']","[0.1123106703162193, 0.1032053679227829, 0.0512645505368709, 0.0454073511064052, 0.0440367646515369]"
189,Dad's snoring was a _ train.,loud,"['freight', 'runaway', 'slow', 'sleeper', 'ghost']","[0.5344282388687134, 0.1325937509536743, 0.0191484671086072, 0.0174027606844902, 0.017228715121746]"
190,The prefect is a _ lion.,bold,"['fierce', 'brave', 'rampant', 'fighting', 'muscular']","[0.184231698513031, 0.1193560734391212, 0.0735114067792892, 0.0553601942956447, 0.0410901680588722]"
191,The beggar does not have a place to stay or food to eat. He is a _ church mouse.,poor,"['poor', 'common', 'stubborn', 'typical', 'shy']","[0.6740962266921997, 0.0252045020461082, 0.0143316211178898, 0.0125452978536486, 0.0122208874672651]"
192,The boys are _ puppies.,playful,"['playful', 'adorable', 'cute', 'like', 'pup']","[0.7906060218811035, 0.0366978831589221, 0.0202048365026712, 0.0110166473314166, 0.0099162217229604]"
193,The boy was a _ dog that lost its bone.,sad,"['poor', 'hound', 'battered', 'small', 'stubborn']","[0.2297601699829101, 0.0412364155054092, 0.0397353768348693, 0.0266151409596204, 0.0243747029453516]"
194,The bed was a _ cotton ball.,soft,"['soft', 'smooth', 'white', 'giant', 'cheap']","[0.1711174398660659, 0.071894571185112, 0.0635638087987899, 0.0509155802428722, 0.0437186881899833]"
195,Betty is a _ wind so she will win the race.,swift,"['strong', 'swift', 'blowing', 'free', 'cool']","[0.3955569863319397, 0.088333785533905, 0.0251904726028442, 0.0241541471332311, 0.0229492913931608]"
196,She ate so much that she became a _ pig.,fat,"['guinea', 'stubborn', 'roast', 'stuffed', 'selfish']","[0.9075540900230408, 0.0130857760086655, 0.0112675484269857, 0.0031830538064241, 0.0018347008153796]"
197,Her face is the _ sunlight.,bright,"['bright', 'only', 'perfect', 'morning', 'fading']","[0.349259465932846, 0.0874813944101333, 0.0688774362206459, 0.0589074715971946, 0.0362944714725017]"
198,The partygoers couldn't believe how adorable the twins were. They were _ kittens!,cute,"['adorable', 'cute', 'perfect', 'identical', 'playful']","[0.4713016152381897, 0.2028102725744247, 0.0401168726384639, 0.0381435342133045, 0.0275722108781337]"
199,The dog was a _ train moving to catch the ball that his owner threw.,fast,"['freight', 'slow', 'steam', 'runaway', 'fast']","[0.7058229446411133, 0.0445366948843002, 0.0326917134225368, 0.0285068526864051, 0.0265815984457731]"
200,The dinner was _ dust.,dry,"['thick', 'dry', 'fine', 'desert', 'gathering']","[0.2038337588310241, 0.0451219044625759, 0.0400361306965351, 0.0373250879347324, 0.0364450365304946]"
201,The candy bars were _ mush in Clay's hand.,soft,"['like', 'thick', 'sour', '[PAD]', 'soft']","[0.3415184020996094, 0.0450907684862613, 0.0291338432580232, 0.0234242491424083, 0.0203486327081918]"
202,Richard is a _ turtle walking to class.,slow,"['slow', 'shy', 'skinny', 'walking', 'regular']","[0.1700765192508697, 0.1542965471744537, 0.066112034022808, 0.037199281156063, 0.0319220274686813]"
203,The flowers were _ thoughts of budding love.,soft,"['[PAD]', 'floated', 'innocent', 'stirring', 'soft']","[0.0474820397794246, 0.0354600958526134, 0.0337534472346305, 0.0286620147526264, 0.0277575347572565]"
204,Little John was a _ lamb when he was introduced to his new class in kindergarten.,modest,"['gentle', 'modest', 'little', 'sheep', 'loyal']","[0.5046169757843018, 0.2160383313894271, 0.0485662035644054, 0.0294433534145355, 0.0087844673544168]"
205,My client is an _ newborn lamb!,innocent,"['innocent', '[PAD]', 'adorable', 'excellent', 'exemplary']","[0.2952658236026764, 0.1157363131642341, 0.0793198719620704, 0.0194371342658996, 0.0143662681803107]"
206,The snow was a _ cloud.,white,"['dust', 'fluffy', 'white', 'dark', 'thick']","[0.2359100133180618, 0.1706681251525879, 0.1155221313238143, 0.0561250448226928, 0.0509778298437595]"
207,I was a _ dog with two tails when receiving a gold medal from the headmaster.,happy,"['loyal', 'collar', 'puppy', 'big', 'hound']","[0.1082870066165924, 0.093679741024971, 0.0436903610825538, 0.0417515449225902, 0.0321086682379245]"
208,Her eyes were _ diamonds.,bright,"['bright', 'sparkling', 'glittering', 'like', 'shiny']","[0.3944001197814941, 0.2623240351676941, 0.0632673129439354, 0.0559190548956394, 0.0249382890760898]"
209,I am a _ pig in mud.,happy,"['guinea', 'mud', 'filthy', 'roast', 'wet']","[0.7593473792076111, 0.0480006076395511, 0.0173025783151388, 0.0161982346326112, 0.0118663758039474]"
210,The house of cards is a _ oak.,sturdy,"['solid', 'sturdy', 'thick', 'large', 'carved']","[0.3423244059085846, 0.1868213415145874, 0.0467586852610111, 0.0290479697287082, 0.0277892295271158]"
211,The teacher is _ butter and naughty pupils are taking advantages of the situation. They do not pay attention in class.,soft,"['peanut', 'cutting', 'peeling', 'melting', 'soft']","[0.5543044209480286, 0.0525977574288845, 0.0230132490396499, 0.0217594224959611, 0.0180911738425493]"
212,My best friend is a _ mule. He just doesn't listen to any advice given.,stubborn,"['stubborn', 'mule', 'wise', 'damn', 'pack']","[0.9318813681602478, 0.0236360412091016, 0.0057204300537705, 0.0029100552201271, 0.0027013074140995]"
213,The old car was _ dirt.,cheap,"['worthless', 'cheap', 'mostly', 'all', 'packed']","[0.058867298066616, 0.0371329113841056, 0.0346990786492824, 0.0288071781396865, 0.027726786211133]"
214,The fortune tellers' nails were _ eagle talons.,long,"['like', 'long', 'perfect', 'black', 'carved']","[0.3352285623550415, 0.1272722631692886, 0.0302974674850702, 0.0236998591572046, 0.0184107590466737]"
215,The asphalt was a _ frying pan on that summer day.,hot,"['hot', 'dead', 'giant', 'slow', 'stove']","[0.8193898797035217, 0.0156656075268983, 0.0156647861003875, 0.009809679351747, 0.0084462603554129]"
216,Jason is a _ giraffe. He towers above the rest of his classmates.,tall,"['tall', 'towering', 'giant', 'muscular', 'strong']","[0.7998412847518921, 0.0251118391752243, 0.0163374841213226, 0.0141713945195078, 0.0123441824689507]"
217,The tiger's teeth are _ razors.,sharp,"['sharp', 'razor', 'like', 'thin', 'straight']","[0.7219482064247131, 0.1199091076850891, 0.0419821292161941, 0.0213330052793025, 0.0176549963653087]"
218,The Shokpa's sound is a _ lion's roar. ,loud,"['fierce', 'roaring', 'hungry', 'mighty', 'wild']","[0.2603828310966491, 0.204444870352745, 0.052026730030775, 0.0396538227796554, 0.0296272020787]"
219,The angry child  was a _ raoring elephant.,loud,"['giant', '[PAD]', 'large', 'huge', 'massive']","[0.282776802778244, 0.0383607745170593, 0.0323061197996139, 0.0257839169353246, 0.0234577897936105]"
220,His face was a _ beet.,red,"['red', 'bright', 'tomato', 'purple', 'dark']","[0.8662350177764893, 0.0300952214747667, 0.0133033189922571, 0.011078743264079, 0.0083396341651678]"
221,The clouds were _ sheep.,white,"['like', 'black', 'white', 'grazing', 'mostly']","[0.2857746481895447, 0.0969654619693756, 0.0421059988439083, 0.0350309237837791, 0.0226306542754173]"
222,Mary's cheeks were a _ tomato when she forgot her lines during the school play.,red,"['red', 'tomato', 'bright', 'purple', 'fresh']","[0.8432264924049377, 0.060882594436407, 0.0332496762275695, 0.0200753025710582, 0.0031734795775264]"
223,Aaron was thankful he had brought his flashlight along with him when he realized the night was _ coal.,black,"['black', 'smoking', 'burning', 'barren', 'dark']","[0.6108075380325317, 0.0839711055159568, 0.041078858077526, 0.0309981014579534, 0.0112731326371431]"
224,"As you progress, your ankles become _ rocket boosters and your feet will act as mini-trampolines.",powerful,"['natural', 'powerful', 'like', 'solid', 'explosive']","[0.089989461004734, 0.080198585987091, 0.0527603924274444, 0.0410091355443, 0.0371851064264774]"
225,His eyes are _ ocean.,blue ,"['deep', 'pure', 'an', 'blue', 'dark']","[0.1594934314489364, 0.146880954504013, 0.0847868248820304, 0.0801634639501571, 0.0780177041888237]"
226,You should not believe everything he says as he is a _ fox .,wise,"['sly', 'cunning', 'wise', 'gentle', 'very']","[0.6095727682113647, 0.3019046187400818, 0.0078293196856975, 0.0042691370472311, 0.003248537890613]"
227,Mom was a _ kid on Christmas when she opened her new vacuum cleaner.,silly,"['spoiled', 'naughty', 'christmas', 'hush', 'happy']","[0.2180875390768051, 0.0845678895711898, 0.0440392047166824, 0.0283869188278913, 0.0275939032435417]"
