similes,metaphors,expected,AN,topic,vehicle,event,option0,option1,option2,option3,human_idx,ans_idx
The champion for the 100 - metre race runs as _ as a deer .,The champion for the 100-meter race is a _ deer.,fast,fast deer,champion,deer,runs,strong,little,slow,fast,3,3
she is as _ as an angel .,She is an _ angel.,innocent,innocent angel,she,angel,is,little,innocent,guilty,ugly,1,1
Adib was as _ as a toad as he never lifted a finger to help with chores at home or at school .,Adib was a _ toad as he never lifted a finger to help with chores at home or at school.,lazy,lazy toad,Adib,toad,was,productive,ugly,lazy,active,2,2
Dad 's snoring was as _ as a train .,Dad's snoring was a _ train.,loud,loud train,snoring,train,was,big,bad,quiet,loud,3,3
The prefect is as _ as a lion .,The prefect is a _ lion.,bold,bold lion,prefect,lion,is,wild,senior,urban,bold,3,3
The beggar does not have a place to stay or food to eat . He is as _ as a church mouse .,The beggar does not have a place to stay or food to eat. He is a _ church mouse.,poor,poor church mouse,He,mouse,is,rich,old,poor,small,2,2
the boys are as _ as puppies .,The boys are _ puppies.,playful,playful puppies,boys,puppies,are,fun,male,competitive,playful,3,3
The boy was as _ as a dog that lost its bone .,The boy was a _ dog that lost its bone.,sad,sad dog,boy,dog,was,friendly,happy,glad,sad,3,3
The bed was as _ as a cotton ball .,The bed was a _ cotton ball.,soft,soft cotton ball,bed,ball,was,flat,soft,uncomfortable,hard,1,1
betty is as _ as the wind so she will win the race .,Betty is a _ wind so she will win the race.,swift,swift wind,betty,wind,is,cool,destructive,transparent,swift,3,3
She ate so much she became as _ as a pig .,She ate so much that she became a _ pig.,fat,fat pig,she,pig,became,white,red,fat,blue,2,2
Her face is as _ as the sunlight .,Her face is the _ sunlight.,bright,bright sunlight,face,sunlight,is,pale,strong,bright,harsh,2,2
The partygoers could n't believe how adorable the twins were . They were as _ as kittens !,The partygoers couldn't believe how adorable the twins were. They were _ kittens!,cute,cute kittens,They,kittens,were,cute,old,small,annoying,0,0
The dog moved as _ as a train to catch the ball that his owner threw .,The dog was a _ train moving to catch the ball that his owner threw.,fast,fast train,dog,train,moved,old,easy,fast,good,2,2
The dinner was as _ as dust .,The dinner was _ dust.,dry,dry dust,dinner,dust,was,romantic,grey,dry,wet,2,2
The candy bars were as _ as mush in Clay 's hand .,The candy bars were _ mush in Clay's hand.,soft,soft mud,bars,mush,were,soft,green,hard,solid,0,0
Richard walks as _ as a turtle getting to class .,Richard is a _ turtle walking to class.,slow,slow turtle,Richard,turtle,walks,quick,strong,slow,fast,2,2
The flowers were as _ as thoughts of budding love .,The flowers were _ thoughts of budding love.,soft,soft thoughts,flowers,thoughts,were,blue,pink,green,soft,1,3
Little John was as _ as a lamb when he was introduced to his new class in kindergarten . .,Little John was a _ lamb when he was introduced to his new class in kindergarten.,modest,modest lamb,John,lamb,was,gentle,modest,delicious,full,0,1
My client is as _ as a newborn lamb !,My client is an _ newborn lamb!,innocent,innocent lamb,client,lamb,is,innocent,gentle,legal,guilty,1,0
The snow was as _ as a cloud .,The snow was a _ cloud.,white,white cloud,snow,cloud,was,cold,beautiful,fresh,white,3,3
I was as _ as a dog with two tails when receiving a gold medal from the headmaster .,I was a _ dog with two tails when receiving a gold medal from the headmaster.,happy,happy dog,I,dog,was,unhappy,happy,fun,sad,1,1
Her eyes were as _ as diamonds .,Her eyes were _ diamonds.,bright,bright diamonds,eyes,diamonds,were,dull,clear,bright,green,2,2
I am as _ as a pig in mud .,I am a _ pig in mud.,happy,happy pig,I,pig,am,thirsty,happy,sad,unhappy,1,1
This house of cards is as _ as an oak .,The house of cards is a _ oak.,sturdy,sturdy oak,house,oak,is,sturdy,hard,expensive,white,0,0
The teacher is as _ as butter and naughty pupils are taking advantage of the situation . They do not pay attention in class .,The teacher is _ butter and naughty pupils are taking advantages of the situation. They do not pay attention in class.,soft,soft butter,teacher,butter,is,sticky,sweet,soft,hot,2,2
My best friend is as _ as a mule . He just does n't listen to any advice given .,My best friend is a _ mule. He just doesn't listen to any advice given.,stubborn,stubborn mule,friend,mule,is,stubborn,poor,dense,beloved,0,0
The old car was as _ as dirt .,The old car was _ dirt.,cheap,cheap dirt,car,dirt,was,packed,expensive,free,cheap,3,3
The fortune tellers nails were as _ as eagle talons .,The fortune tellers' nails were _ eagle talons.,long,long talons,nails,talons,were,low,short,brief,long,3,3
"That summer day was so _ , the asphalt was as _ as a frying pan .",The asphalt was a _ frying pan on that summer day.,hot,hot frying pan,asphalt,pan,was,hot,hard,cold,flat,0,0
Jason is as _ as a giraffe . He towers above the rest of his classmates .,Jason is a _ giraffe. He towers above the rest of his classmates.,tall,tall giraffe,Jason,giraffe,is,tall,slow,short,successful,0,0
The tiger 's teeth is as _ as a razor .,The tiger's teeth are _ razors.,sharp,sharp razors,teeth,razor,is,straight,dull,pointed,sharp,3,3
The Shokpa 's sound is as _ as a lion 's roar .,The Shokpa's sound is a _ lion's roar. ,loud,loud lion's roar,sound,roar,is,soft,soft,loud,quiet,2,2
The angry child was as _ as a roaring elephant .,The angry child  was a _ raoring elephant.,loud,loud roaring elephant,child,elephant,was,fast,loud,quiet,wild,1,1
His face was as _ as a beet .,His face was a _ beet.,red,red beet,face,beet,was,angry,yellow,red,green,2,2
The clouds were as _ as sheep .,The clouds were _ sheep.,white,white sheep,clouds,sheep,were,white,fluffy,beautiful,grey,0,0
Mary 's cheeks were as _ as a tomato when she forgot her lines during the school play .,Mary's cheeks were a _ tomato when she forgot her lines during the school play.,red,red tomato,cheeks,tomato,were,red,green,sweet,pink,0,0
Aaron was thankful he had brought his flashlight along with him when he realized the night was as _ as coal .,Aaron was thankful he had brought his flashlight along with him when he realized the night was _ coal.,black,black coal,night,coal,was,black,brown,cold,hot,0,0
"As you progress , your ankles become as _ as rocket boosters and your feet will act as mini-trampolines .","As you progress, your ankles become _ rocket boosters and your feet will act as mini-trampolines.",powerful,powerful rocket,ankles,boosters,become,powerless,solid,powerful,dangerous,2,2
His eyes are as _ as the ocean .,His eyes are _ ocean.,blue ,blue ocean,eyes,ocean,are,green,red,brown,blue,3,3
You should not believe everything he says as he is as _ as a fox .,You should not believe everything he says as he is a _ fox .,wise,wise fox,he,fox,is,drunk,happy,gay,cunning,3,3
Mom was as _ as a kid on Christmas when she opened her new vacuum cleaner .,Mom was a _ kid on Christmas when she opened her new vacuum cleaner.,silly,silly kid,Mom,kid,was,fun,curious,silly,cunning,1,2
