masked sentence,expected
He is as [MASK] as a mouse.,quiet 
My grandfather is eighty years old but he is still as [MASK] as a fiddle. He exercises daily at the park.,fit
I think my grandfather is as [MASK] as these hills!,old
Leah looked as [MASK] as a ghost yesterday.,pale
my grandma is as [MASK] as an owl.,wise
he is as [MASK] as a mouse.,silent 
Mrs Max bought a new blouse and it felt as [MASK] as silk.,smooth
He was as [MASK] as a bat.,blind 
She was as [MASK] as a lion.,brave
You're as [MASK] as a button!,cute 
She was as [MASK] as a bee.,busy
his neck is as [MASK] as giraffe.,long
My hands were as [MASK] as ice.,cold
Sally is as [MASK] as pie.,sweet
He was as [MASK] as pie.,sweet 
The house was as [MASK] as a mouse.,quiet 
Fatoumata is as [MASK] as honey!,sweet
"Ever since he started practising 'tai chi', Mr Tan has been as [MASK] as a fiddle.",fit
The old man was as [MASK] as a bat.,blind
Toa is as [MASK] as a strong chicken.,brave
The traffic is moving as [MASK] as a snail at the toll plaza.,slow
She is as [MASK] as a fiddle because she exercises every day.,fit
The baby was as [MASK] as a picture.,pretty
The old man walks as [MASK] as a snail.,slow
My sister was as [MASK] as a bee preparing for her ballet performance tomorrow. She had a lot to practice.,busy
the child is as [MASK] as a kitten.,playful
The little baby was as [MASK] as candy.,sweet
there was no more water in the lake. it was as [MASK] as bone.,dry
Kozmy is as [MASK] as gold.,good
she woke in the morning as [MASK] as daisy.,fresh
"Look at him, he has recovered from a fever and looks as [MASK] as day.",new
my grandmother is as [MASK] as honey.,sweet
the man is as [MASK] as a mule.,stubborn 
Mr wong is as [MASK] as lion.,brave
she is as [MASK] as a lamb.,gentle
Jason is as [MASK] as an owl.,wise
Mr. Ray is as [MASK] as a cheetah.,fast
she was as [MASK] as a feather.,light
Mrs. Cole was reading a book which is as [MASK] as an elephant.,big
my mother is as [MASK] as a bee.,busy
Kamal can climb up and down easily and quickly. He is as [MASK] as a monkey.,agile
The pencil is as [MASK] as a feather.,light
The paper is as [MASK] as a feather.,light
harry is as [MASK] as an ox.,strong
He is as [MASK] as a rail.,thin
This house is as [MASK] as a whistle.,clean
Her mom is as [MASK] as sugar.,sweet
He is as [MASK] as a lion.,brave
She is as [MASK] as a toothpick.,tooth
They are as [MASK] as night and day.,different
The fire was as [MASK] as a crackling fire.,warm
"nora won't change her decision, she is as [MASK] as a mule.",stubborn 
my hands are as [MASK] as ice.,cold
my throat is as [MASK] as a bone.,dry
the warrior is as [MASK] as a lion.,brave
"Without my glasses, I am as [MASK] as a bat.",blind
my sister is as [MASK] as sugar.,sweet
I am as [MASK] as a wolf I can finish all the food.,hungry
My best friend is as [MASK] as a dog.,loyal
the sunset at the beach is as [MASK] as rainbow.,beautiful
The children were as [MASK] as mice.,quiet
he is as [MASK] as ox.,strong
You were as [MASK] as a lion.,brave
Ted was as [MASK] as a cat with a long tail in a room full of rocking chairs.,nervous
"Without his spectacles, my grandfather is as [MASK] as a bat.",blind
Mazlan is as [MASK] as a bat without his eyeglasses.,blind
Her hair is as [MASK] as silk.,smooth
"Without his glasses, the man was as [MASK] as a bat.",blind
She is as [MASK] as a swan.,graceful
She was as [MASK] as a bee.,busy
Abigail is as [MASK] as a giraffe.,tall
This book is as [MASK] as a feather.,light
"Since Mom has two jobs, she is always as [MASK] as a bee.",busy
My new baby brother is as [MASK] as a button.,cute 
"In her new dress, Paisley was as [MASK] as a button.",cute 
The instructions were as [MASK] as mud.,clear
The dog was as [MASK] as an elephant.,big
the room was as [MASK] as night so i couldn't see anything.,dark
He is as [MASK] as a barrel of monkeys.,funny
"Without my glasses, I'm as [MASK] as a bat.",blind
"She has learned gymnastics, and is as [MASK] as a monkey.",agile
He is as [MASK] as a giraffe.,tall
She is as [MASK] as a tack.,sharp
robin can run as [MASK] as cheetah.,fast
You are as [MASK] as a lion.,brave
the laundry bag was as [MASK] as elephant.,big
The pencil is as [MASK] as a feather.,light
I slept as [MASK] as a bug in a rug in my new bed.,close
The dinner was as [MASK] as a five star restaurant.,declious 
He was as [MASK] as a beaver.,busy
My dog is as [MASK] as a mouse.,quiet
He is as [MASK] as a skyscraper.,tall
I am so thirsty that my throat is as [MASK] as a bone.,dry
That was as [MASK] as a haunted house.,scary
The ballerina is as [MASK] as a swan.,graceful
Bill was as [MASK] as a snail.,slow
david runs as [MASK] as snail.,slow
I am as [MASK] as a bear recently awaken from hibernation.,hungry
This bagel is as [MASK] as a rock.,hard
Her smile is as [MASK] as the sun.,bright
the boy is as [MASK] as giraffe.,tall 
The bruise on George's foot felt as [MASK] as an elephant.,big
The student was as [MASK] as a bee.,busy
john runs as [MASK] as a cheetah.,fast
She is a ballet dancer who can dance as [MASK] as a swan.,graceful
"Although my grandfather is already 70 years old, he is still as [MASK] as a fiddle.",fit 
The test is as [MASK] as ABC.,easy
He is as [MASK] as a fox.,quick
You can be as [MASK] as a dog.,happy
The bread was as [MASK] as a rock.,hard
"You know how in ""Rocky"" he prepares for the fight by punching sides of raw beef? Well, yesterday it was as [MASK] as that meat locker he was in.",cold
The night is as [MASK] as a sharp sword.,cold
She was as [MASK] as a button.,cute
alia always falls down. she is as [MASK] as a bear.,clumsy
He is as [MASK] as a fox.,sly
John is as [MASK] as a horse.,hungry
The dog was as [MASK] as coal.,black
he is as [MASK] as a feather.,light
Zane could answer all the questions during the examination because they were as [MASK] as ABC.,easy
She is as [MASK] as a picture.,pretty
The football player is as [MASK] as a cheetah.,fast
Johnny was as [MASK] as lightning.,fast
He can't see anything without his glasses. He is as [MASK] as a bat.,blind
Learning to bake a cake is as [MASK] as ABC.,easy
The candy is as [MASK] as a rock.,hard
The twins Peter and Jason are as [MASK] as two peas They are twins.,alike
He was as [MASK] as a duck.,lame
The bruise on George's foot felt as [MASK] as the ocean.,blue
They are as [MASK] as night and day.,different
That car is as [MASK] as a cherry.,red
The English teacher's explanation was as [MASK] as mud.,clear
the exam was as [MASK] as a piece of cake.,easy
He is as [MASK] as a fox.,smart
I'm as [MASK] as a bear that just work up from its winter sleep.,hungry
The band played as [MASK] as a sonic boom.,loud
The boy was as [MASK] as lightning in the race.,fast
My new baby brother is as [MASK] as a button.,cute
The directions were as [MASK] as mud.,clear
That explanation was as [MASK] as mud.,clear
today reena is as [MASK] as a bee.,busy
"After Christian's ball was run over by the car, it was as [MASK] as a pancake.",flat
She is as [MASK] as a picture.,pretty
The room is as [MASK] as night so I could not see anything.,dark
That box is as [MASK] as a feather.,light
The lake was as [MASK] as glass.,clear
i am as [MASK] as a cheetah.,fast
Maria was as [MASK] as a swan.,graceful
Have you ever felt as [MASK] as a hippo?,hungry
the baby rabbit was as [MASK] as mouse.,small
She was as [MASK] as ice.,cold
Your explanation is as [MASK] as mud.,clear
The children were as [MASK] as gold. The teacher was very pleased with them.,good
The children were as [MASK] as a mouse.,quiet
Jerwin is as [MASK] as a lion.,brave
sue is as [MASK] as a picture.,pretty
She is as [MASK] as a bee.,busy
My grandfather is as [MASK] as a bat without his glasses.,blind
my house is as [MASK] as a star.,clean
"Without his glasses, the man was as [MASK] as a bat.",blind
His explanation was as [MASK] as mud.,clear
We are as [MASK] as two peas in a pod.,alike
The little boy stood as [MASK] as a soldier.,still
Jim felt as [MASK] as an owl when he got his test back.,wise
The successful businesswoman is as [MASK] as a peacock. Her new collaboration with an international company in London.,proud
he was as [MASK] as a mouse when he crept into the room.,quiet
Kim's tongue felt as [MASK] as a bone.,dry
She is as [MASK] as a fox.,cunning
My dad is as [MASK] as a bee.,busy
She is as [MASK] as a kitten.,cute
This bagel is as [MASK] as a rock.,hard
Jayden was as [MASK] as a wet hen.,mad
My grandma says I am as [MASK] as pie.,sweet
The class was as [MASK] as a mouse.,quiet
jack is really tall. he is as [MASK] as a mountain.,tall 
The water was as [MASK] as crystal.,clear
The car was as [MASK] as a cheetah.,fast
The cookies were so overcooked that they were as [MASK] as rocks.,hard
Usain Bolt runs as [MASK] as a cheetah.,fast
She was as [MASK] as a button.,bright
Her hair is as [MASK] as coal.,black
I'm feeling as [MASK] as a dog.,sick
He was as [MASK] as a cucumber.,cool
I am as [MASK] as a bear.,hungry
Dona's vision was as [MASK] as a hawk's.,sharp
My dad is as [MASK] as an ox.,strong
She is as [MASK] as candy.,sweet
The bruise on Jack's foot felt as [MASK] as an elephant.,big
My grandpa is as [MASK] as an owl.,wise
Your smile is as [MASK] as the sun.,bright
His mind is as [MASK] as a samurai's sword.,sharp
That student was as [MASK] as sugar.,sweet
He is as [MASK] as a rail.,thin
I'm as [MASK] as a wolf.,hungry
That trip was as [MASK] as a cheetah.,fast
Her hair is as [MASK] as coal.,black
They are as [MASK] as two peas in a pod.,alike
She is as [MASK] as a mouse.,quiet
He is as [MASK] as a fox.,smart
The house is as [MASK] as a whistle.,clean
The puppy was as [MASK] as a cheetah.,fast
He is as [MASK] as dirt.,poor 
my uncle is as [MASK] as a giraffe.,tall 
You are as [MASK] as a button.,cute
She is as [MASK] as a ghost.,pale
Boy was as [MASK] as a rocket as he sped by on his bicycle.,fast
He is as [MASK] as a bat without his glasses.,blind
That teacher was as [MASK] as dishwater.,dull
Roman is as [MASK] as an ox.,strong
I am as [MASK] as a bear!,hungry
i did not bring my spectacles so i am as [MASK] as bat.,blind
prem runs as [MASK] as lightning.,fast
My uncle is eighty-six years old but he is still as [MASK] as a fiddle. He exercises daily at the park.,fit
He is as [MASK] as a bat.,blind
That trip was as [MASK] as a cheetah.,fast
eashen laughed as [MASK] as thunder.,loud
You are as [MASK] as pie!,sweet
The servant is as [MASK] as a dog to her master.,loyal
The exam just now was as [MASK] as ABC. I finished it in just 10 minutes.,easy
She was as [MASK] as an owl.,wise
"In her new dress, the little girl was as [MASK] as a button.",cute
My sister is as [MASK] as a fiddle because she walks 10 kilometers daily.,fit
The cookies were so overcooked that they were as [MASK] as rocks.,hard
The little boy is as [MASK] as a mouse.,quiet
my brother is as [MASK] as lion.,brave
The book was as [MASK] as a rock.,hard
The water in the pond is as [MASK] as crystal.,clear
"The twins look alike, but they are as [MASK] as night and day.",different
You are as [MASK] as a cheetah!,fast
Mary was as [MASK] as pie.,sweet
Mom was as [MASK] as a kid on Christmas when she opened her vacuum cleaner.,silly
The exam was as [MASK] as ABC for Nora because she had studied hard and prepared well for it.,easy
The bread was as [MASK] as a rock!,hard
Mrs. Frindle is as [MASK] as pie!,sweet
He was as [MASK] as an animal.,wild
but she's as [MASK] as a goldfish.,harmless
It hasn't rained for months and the soil is as [MASK] as a bone.,dry
"When my great uncles drives, he is as [MASK] as a turtle.",slow
Mrs Jasprit is as [MASK] as bat without her glasses.,blind
The test was as [MASK] as ABC.,easy
the road is as [MASK] as an arrow.,straight
The little girl's hair is as [MASK] as silk.,soft
He is as [MASK] as an ox.,strong
Tanya is as [MASK] as sugar.,sweet
The exam was as [MASK] as ABC for Norita because she had studied hard and prepared well for it.,easy
My grandma is as [MASK] as sugar.,sweet
my father is as [MASK] as bee.,busy
she exercises regularly and keeps herself as [MASK] as a fiddle.,fit
The water in the pond was as [MASK] as crystal.,clear
Phineas and Ferb are as [MASK] as a CIA agent.,slippery
The dog is as [MASK] as a horse.,big
She is as [MASK] as a feather.,light
Her hands are as [MASK] as the ice.,cold
the young girl was as [MASK] as a lion.,brave
The motion sickness hit the sailor as [MASK] as lightning.,fast
The ball was as [MASK] as ice.,cold
This is in a society that believes a thought is as [MASK] as the deed.,real
"The dialogue is as [MASK] as the characters, with a lot of vernacular that is specific to a certain era in New Orleans.",colorful
That math problem was as [MASK] as A-B-C.,easy
I could answer the exam questions in less than an hour. It was as [MASK] as ABC.,easy
The car was driving as [MASK] as a snail.,slow
It's as [MASK] as ABC.,easy
I'm as [MASK] as a mouse.,quiet
Mason was as [MASK] as a cheetah on wheels.,fast
Hebe's hair is long and as [MASK] as silk.,smooth
he is as [MASK] as lion.,brave
His teeth are as [MASK] as pearls.,white
this girl is as [MASK] as snow.,white
"Allow me, it's as [MASK] as ABC.",easy
The water well is as [MASK] as a bone.,dry
Mary is as [MASK] as pie.,sweet
She's as [MASK] as a button.,cute
your hands are as [MASK] as ice.,cold
jessie swam as [MASK] as a fish.,smoothly
the living room was painted as [MASK] as snow.,white
Liam dove into the water as [MASK] as an otter.,effortlessly
Zero sat as [MASK] as a statue.,still
you were as [MASK] as a lion.,brave
The dog is as [MASK] as a horse.,big
The lady is as [MASK] as a peacock.,proud
This bus is as [MASK] as a snail. We may not be able to reach the airport on time.,slow
The day continued as [MASK] as a surfboard.,smoothly
You were as [MASK] as a lion.,brave
Gorillas are as [MASK] as stones.,patient
He is as [MASK] as a monkey.,funny
The queen's heart was as [MASK] as ice.,cold
she is as [MASK] as a snail.,slow
He is as [MASK] as his older brother.,tall 
"After the ball was run over by the car, it was as [MASK] as a pancake.",flat
He is as [MASK] as a raccoon.,wild
Your stomach is as [MASK] as an elephant.,big
The dog was as [MASK] as an elephant.,big
That math problem was as [MASK] as A-B-C.,easy
Mimi was as [MASK] as a ghost when she saw a black figure inside her bedroom.,white
My brother is as [MASK] as a pig.,stubborn 
The dogs fur was as [MASK] as coal.,black
The bruise on Cillian's foot felt as [MASK] as an elephant.,big
The contract was as [MASK] as the ground.,solid
"Unfortunately, the main character ( Andrea Sachs ) is as [MASK] as flat soda.",bland
The Cat Empire is truly an original band in a time when true originality is as [MASK] as the raw talent they possess!,scarce
"The storyline, however sparse, is as [MASK] as the mathematics-albeit quite nineteenth-century'ish in tone.",interesting
Huether's and McCance's book is as entertaining and [MASK] as a root canal.,painful
"If all his work is as [MASK] as this enchanting story, I'm hooked on MacDonald.",good
"The words of the narrator are as [MASK] as his sight, and he describes for pages and pages the dialogues and behaviours that take place during such encounters.",thorough
the day was as [MASK] as a flame of a candle.,perfect
The quality of the printing and editing is almost as [MASK] as the absurdity of the unsubstantiated claims with which the two writers fill page after page.,annoying
"Jazz and her twin, Jess, are as [MASK] as night and day.",different
Chain is as [MASK] as its weakest link.,strong
"The murder story was not as [MASK] as the glimpses into the society of the time, but the author gives you a well-rounded view of both the top and bottom segments of New York.",interesting
"Afterwards, your pieces are almost as [MASK] as sunshine.",bright
"His own death would give us the freedom to see inside his life, inside his journals where his ability to place his adventures on the page is as [MASK] as any assemblage artist that comes to mind.",fascinating
"For a brief moment, in the pulse of her flesh all Lucas Corso's previous deaths came to life, as if brought by the current of a dark, slow river whose waters were as [MASK] as varnish. ",thick
Often the explanations are as [MASK] as mud.,clear
"I think the appeal is that the stories are about things young children can relate to, and often have experience of, and the hapless sheep find the world as [MASK] as little ones often do.",surprising
"Here in the moonlight, raise your sword and dance: Edges strike notes as [MASK] as any star, Sweet crystal clarity no blood could mar, Meet me in war or love, and take this chance.",bright
"First went our fat, and after the leane, Next at our selves they draw their Skeene; Our Market being spoiled thus on the Land,  And troubles increase as [MASK] as the sand.",thick
My sister is very good in drawing. Her drawings are as [MASK] as the rainbow.,beautiful
"Mama May lived where the earth met the sky, and her house was as [MASK] as the prairie.",wide
the cricketer was as [MASK] as a cat to catch the ball.,quick
The teacher's explanation was as [MASK] as mud.,clear
The groundhog on the side of the road was as [MASK] as a doornail.,dead
The cat is as [MASK] as a tiger.,fierce
"After doing my chores, the house was as [MASK] as a whistle.",clean
Talking to him was as [MASK] as eating a hamburger with freshly painted nails.,frustrating
"I am disposed to be as [MASK] as a queen, and you try to stir me up to restlessness!",content
"numerous icebergs, some of which are as [MASK] as cathedrals, and occasionally loaded with no inconsiderable blocks of rock, would be stranded on the outlying islets.",tall
This aspect is as [MASK] as diamonds.,rare
"Recognizing a soulmate can be as [MASK] as a moment in the sunshine, or a meeting of eyes over a cup of coffee.",sudden
"As long as you can drive away from their shop without toppling over or crashing into something or someone, you're as [MASK] as a bird.",free
The Fraud Triangle Fraud is as [MASK] as a virus and can be just as menacing.,common
"Many eclipses are jarring, but not this one this one is as [MASK] as a cupcake with vanilla icing, so it may be that your friend will do something for you that you find touching.",sweet
"How many of you guys would say no to dating a girl who is as [MASK] as a cow, always silent (apart from occassional sexy moos), and can make Pamela Anderson feel sorry with her udders?",healthy
"No, the room was not cold at all, but my heartoh, dismaymy heart was as [MASK] as ice.",cold
"Irregular Choice is as [MASK] as a child in a sweetie shop to announce our first Irregular Choice Kids collection will be launching this Friday at 12 pm ( UK Time ) Our fans have been asking owner and Designer Dan Sullivan to create a children's  collection for years and he has worked hard to make their dreams come true, developing this capsule kid In preparation for us launching our SWAN HEELS at midday tomorrow we are giving lucky fans the chance to WIN their very own Swan Planters filled with Irregular Choice flowers!",excited
As I got closer to finally see what was in store for me Dan said my eyes were as [MASK] as saucers and my jaw dropped.,big
"A car can become as [MASK] as an oven very quickly, even when it doesn't feel that warm.",hot
"Travel journals were as [MASK] as theatergoing, and stories from the new world abounded.",popular
"Best of all, Stott's text is as [MASK] as Harlequin's moves, his eye for humour and the need to clarify details for those unschooled in that period always as deft and sure.",light
"car can be as [MASK] as home itself: the safety belts, the side protection wings to delicately support the baby?",comfortable
"The irony of my plastic works is that I take a material that was created to be touched, and I make it as [MASK] as an artwork.",inaccessible
"The messengers of love should be as [MASK] as thoughts, traveling ten times faster than sunbeams, pushing all doubts and fears away, as light does to threatening shadows.",light
The water now was as [MASK] as a sheet of glass and reflected in it was a magnificent magenta sunset-it was a perfect ending.,calm
GED Reasoning Through Language Arts : Literary Elements Have you ever been as [MASK] as a bull when you're trying to study and nothing seems to work?,angry
"Great herds of tame cattle grazed the pastures, the water in the streams was as [MASK] as crystal and as fragrant as clover, while the hillsides shone with veins of white, black, and red marble and with deposits of every kind of precious metal.",clear
You will be amazed to see your grapes will be as [MASK] as sugar.,sweet
He's as [MASK] as gall at your desertion and its consequences: don't expect thanks for this noble devotion.,bitter
The bulls-eye is near as [MASK] as a chipmunk and don't move.,big
"But despite all the backstage drama, the show still churned out sketches that made us laugh hard and others that were as [MASK] as grandma's Christmas fruitcake.",sweet
"better than a good many, for I am as [MASK] as a lion, and all men ain't.",strong
"ffor the space of half a year, the gunpowder lay as [MASK] as sand, because no fire came near to explode it.",harmless
One thing stood out after that day of feeding countless rounds through those UZIs - they were as [MASK] as a brick.,reliable
"As I am as [MASK] as a giraffe, the hump makes longer trips uncomfortable.",tall
"The ""to grease or not to grease square taper"" debate is probably as [MASK] as time itself.",old
"But when Grandma spread out the chicken and sandwiches and cookies and lemonade in the shade of the big tree, they found that they were as [MASK] as bears.",hungry
"Her thin calico dress was soaked with the damp in the air, and she was shivering and looked as [MASK] as a sheet.",white
"She was rather thin, but young, and fresh-complexioned, and her eyes sparkled as [MASK] as diamonds.",bright
"The boat received major dents and scratches, it seems as the material is as [MASK] as butter.",soft
"I need not expatiate on the usefulness of that valuable species of cattle, which might have been as [MASK] as asses before now, if our lawgivers had been as mindful of their duty in the suppression of jockey-ship, as they have been in the suppression of usury.",cheap
"He's still as [MASK] as an ox,  Barbara interjected.",strong
When our eyes met he went on with his mouth scarcely leaving hers it was as [MASK] as a sword through a chink in a suit of armour.,piercing
And after being out in the sunshine with the children most of the day she'd lost her pale city complexion becoming as [MASK] as a berry and looking much younger.,brown
At last she reached a wall waist - high stone - built below which stretched the shore as [MASK] as a seashell in the moonlight.,pale
Well you are still as [MASK] as a reed coltish I believe your father used to say you still have the same intriguing green eyes and those slanting eyebrows.,thin
She pushed back her hair as [MASK] as copper in the sunshine that slanted through the big bay window.,bright
With a brief mocking smile he turned away and hurried up the steps to the hotel lobby his back was as [MASK] as a roll of barbed wire.,hostile
The rush-hour traffic in the city centre had been as [MASK] as a plate of home-made porridge.,thick
Her voice was as [MASK] as a rock and she met his silvery-green eyes without flinching.,steady
Francesca was as [MASK] as a picture and apparently glowing with health.,pretty
Ruth was as [MASK] as a dolphin in the water and she was away from him before he had a chance to stop her.,agile
Did I accuse you of being as [MASK] as nails he teased gently at last as if reading her mind.,hard
The picturesque village seems as [MASK] as the series at first sight.,surreal
The gulf in class was as [MASK] as the Mersey after the break but the first-half belonged to Sunderland.,big
This work with great and powerful climaxes in first and last movements with a scherzo which is as [MASK] as thistledown a truly poetic slow movement and tremendous pageantry in the finale is much more than a series of vignettes of a great city.,light
SUSAN Finley had to be as [MASK] as nails to secure a top job aboard a luxury cruise liner.,tough
I haven't been on the stage for a long time so I'm bound to be as [MASK] as a kitten before I go on.,nervous
It has often been claimed that English speech is rhythmical and that the rhythm is detectable in the regular occurrence of stressed syllables of course it is not suggested that the timing is as [MASK] as a clock the regularity of occurrence is only relative.,regular
Everywhere there is delicious coffee served very strong and black in little cups it is either free or costs about 2p and seems as [MASK] as water here.,common
George was a quick thinker so always did the introducing and all of the talking but George did not talk about himself he told of how Lennie was as [MASK] as a bull and how he could buck barley all day.,strong
Moreover he was chuckling and making humorous observations to Fleury in Hindustani his eyes gleaming as [MASK] as anthracite pointing at his neck occasionally and shaking his head as if over an unusually successful jest.,black
Writing of the work of Chardin whose most profoundly moving paintings are revelations of how trivial homely everyday scenes and objects are transformed for us when we see them through the eyes of a great painter Proust says Chardin has taught us that a pear is as [MASK] as a woman a kitchen crock as beautiful as an emerald.,living
Though you may wish to insist it is not true the fact remains that Leos are as [MASK] as the stains on a butcher's tunic.,stubborn
The sparrows alone with their urchin adaptability have found their snow legs and know already that today the street-bottoms are as [MASK] as the air and that they run no danger from dog or bicycle.,safe
People said that she was as [MASK] as the Moor itself and just as changeable.,wild
"One moment she could be smiling tenderly as she fed the animals, the next filled with anger and as [MASK] as a tiger at bay.",dangerous
She had been as [MASK] as a feather to carry and her small hands were as cold as ice.,light
The even strength of his fingers and his robust eloquence James Huneker would never have found the Scherzo from the B minor Sonata which is as [MASK] as a harebell after this and assurance are often awe-inspiring few young pianists have found a more direct path to musical truth or heeded Jorge Bolet's adage that speed is so often the enemy of excitement.,light
All this may be for the locals but in Cologne you'll find the welcome extended to visitors is as [MASK] as a schnapps downed in one.,warm
The other friend who also decided to become a lawyer was as [MASK] as an arrow in flight and in total contrast was very conventional in his approach to life.,straight
The thousands of groups and organisations are as [MASK] as the colours of the rainbow and they have taken this natural phenomenon as the New Age symbol.,diverse
The pun on Spinoza was too good for Coleridge to resist and the remarkable nose he attributed to Walsh may well have been borrowed from his memories of the innkeeper at the Castle of Comfort on the road from Stowey to Holford his nose which was locally famous was said to be as [MASK] as a fist and well warted.,big
Although the mind-body effects of essences can be verified by science the spiritual dimension is of course elusive as [MASK] as the fragrance of a beautiful flower.,celestial
She was as [MASK] as a ghost and her eyes were shadowed as if she had n't slept properly for weeks.,white
Penelope Fitzgerald's prose is as [MASK] as glass and you realise how much she hasn't said only when you stop laughing.,clear
But Thomas Carter was from Philadelphia and his love for Oxford and for England was a pure boyish enthusiasm which is as [MASK] as a passion for preserved railways or real ale.,innocent
With the upstart Parsons that margin was as [MASK] as a motorway of course but even Thomas Carter Nature's gentleman couldn't help getting it ever so slightly wrong in his case by bending over backwards to minimize his achievements and rubbish his accomplishments in order to spare you the painful comparison with your own lacklustre status.,wide
Sir John Anderson who had much to do with atomic weapons development said he was as [MASK] as the flames of Hell.,red
His brain becomes as [MASK] as cheese.,soft
"At a time when spare tax dollars are as [MASK] as cougars in Ontario, the commissioner is concerned that it's a sign the government doesn't intend to do much on the ground.",rare
"Her cousin had shrunk into a corner of the settle, as [MASK] as a mouse, congratulating himself, I dare say, that the correction had alighted on another than him.",quiet
"He can sow an idea, which is as [MASK] as gunshots or close-hand combat, which he s masterful in.",powerful
"As soon as I figured out that one of my life goals is to support people and make them feel good, I automatically felt as [MASK] as a lion!",brave
"The perfect pair of old beaten-up jeans look pretty badass and what's more, they're about as [MASK] as a pair of sweats.",comfortable
"And sliding from the bed before I could hinder her, she crossed the room, walking very uncertainly, threw it back, and bent out, careless of the frosty air that cut about her shoulders as [MASK] as a knife.",keen
"Some types are as [MASK] as a thumb, and yet can flying hundreds of miles over land and sea to migrate each year.",small
"as he spoke he smiled, and the lamplight fell on a hardlooking mouth, with very red lips and sharp-looking teeth, which is as [MASK] as ivory.",white
Our darling girl is as [MASK] as sugar and has a face that you can not resist.,sweet
"We are portrayed as [MASK] as steel, to a not small degree because the eyes of humans can not see our color and see us only as gray, steel gray.",cold
she was not at all shy but she was as [MASK] as a flower.,sensitive
"The goal may be the same for most people who work with a debt consolidation agency, but someone's financial situation and needs can be as [MASK] as a fingerprint in my opinion.",unique
"Although I said earlier, with Venus in that house of office and work atmosphere, your relationship with co-workers will likely be as [MASK] as silk, in all the days near February 26, you do have to be careful about what you say, or how you say it, lest someone overreacts by having a meltdown.",smooth
"By the time I started paddling through Lilypad, the overcast had completely burnt off and the wind had died, leaving the water as [MASK] as glass.",smooth
"All you need is a 10-minute nap and voila, a slurp of rose wine and I feel as [MASK] as a daisy ... What I like in being drunk is the moment when you're alive and enthusiastic.",fresh
"Mold can be just as [MASK] as bugs, and can be contagious between plants in the same room, and even the same house!",annoying
"The colour of the water, as seen at some distance, was like that of a river which has flowed through a red clay district, but under the shade of the vessel's side it was quite as [MASK] as chocolate.",dark
"Hours, incidentally, are as [MASK] as salary and responsibility: it will be your job to hammer out an arrangement that satisfies your needs.",variable
"Before the financial crash in 2008, UK banks were considered to be as [MASK] as a rock.",stable
"I normally find Dev Patel as [MASK] as a bunch of rocks, but here he gives a rich and soulful turn as a man who just wants his creation to be a good man / robot, and will stop at nothing to engage Chappie's morality.",bland
"The cyst, which can be as [MASK] as a nut or as large as a grapefruit, can be removed by surgery, allowing the baby to develop normally.",small
"A one-sided argument is just as [MASK] as a story with holes in itin fact, they're one and the same.",bad
"sorry I made you stutter On May 31, 2017 at 8:52 am, Matthew says: Since you're about as [MASK] as a brick, I'll explain it to you.",dense
The descriptions of landscapes are as [MASK] as loam.,rich
"she could only flounder gracelessly up to her elbows, her backbone as [MASK] as a noodle.",limp
Most people assume German cars are as [MASK] as the sun rising and French cars - as flaky as a croissant.,reliable
"We all kept as [MASK] as mice a full half-hour, and should have done so longer, only Joseph, having finished his chapter, got up and said that he must rouse the master for prayers and bed.",mute
"If I could have that, along with a little AJAX support, I'd be as [MASK] as a lark.",happy
since his last words he had remained as [MASK] as a tomb.,silent
The continual passage from one to the other was initially as [MASK] as a succession of hot and cold showers and ultimately as enervating.,refreshing
But like medicine it did him good and the food tasted better than it looked and after a while the silence grew less tense and they began to chat about the contrast between bloody - minded earnest Perugia just visible on its wind - swept ridge as a distant smudge of grey and Assisi symbol of everything nice and pretty and kind whose pink stone made even its fortifications look as [MASK] as an illustration in a book of fairy tales.,innocent
Great creatures roamed the forest some like bears others like cattle reaching up on hind legs that were as [MASK] as oaks to chew leaves and berries from the tops of the trees.,thick
The tentacles went momentarily as [MASK] as rods hurling their various cargoes around the room before bunching up protectively in front of the abused Eye.,stiff
She smiled a small smile as [MASK] as rue that just curled the corners of her lips.,bitter
The Welsh wanted none but valuable prisoners and had no interest in killing the others since they would surely leave this place more nimbly and rapidly than the English survivors and be as [MASK] as the stars by the time another force looked for them.,inaccessible
In Darcy's Utopia money will be as [MASK] as coconuts in a country where they fall from the trees it will cease to be a corrupting cause.,meaningless
And I listen at the wall for sounds from Jancey but it's as [MASK] as a pillow and she's obviously gone to bed.,quiet
He was as free and as [MASK] as a bird as he made sure to tell her and they clearly got along well.,single
Meredith he said quietly his voice which was as [MASK] as silk your father ordered that his possessions should be burnt.,soft
My hand was as [MASK] as a football and throbbed with a pain that extended to the shoulder blade.,large
Her skin was as [MASK] as milk her eyes were green flecked with amber and rather slanted.,white
And added my own selfish after-thought that the whores in Paris were the most skilled in the world whilst cups of claret were as [MASK] as water there.,cheap
The African is as [MASK] as a ploughox each man can do the work in this clime of two or three of men like us.,strong
Jealousy he thought was as [MASK] as fear the same dryness of the mouth the thudding heart the restlessness which destroyed appetite and peace.,physical
This trowel is every bit as [MASK] as a knife or bayonet and will easily prize up any large stones I have done this often even in rock-hard clay.,strong
My face was as [MASK] as a tomato as I was shown to my seat.,red
