Input Sentence,expected,Top-k Predicted Tokens,Associated Probabilities,Target Token Probability
"Great creatures roamed the forest, some like bears, others like cattle reaching up on hind legs that were _ oaks to chew leaves and berries from the tops of the trees.",thick,"['like', 'unlike', 'called', 'resembling', 'carrying']","[0.8917098641395569, 0.013863051310181618, 0.010195394046604633, 0.008694391697645187, 0.00334881036542356]",4.619362152880058e-05
"The tentacles were momentarily _ rods, hurling their various cargoes around the room, before bunching up protectively in front of the abused Eye.",stiff,"['like', 'becoming', 'on', 'mere', 'forming']","[0.6434255838394165, 0.032862696796655655, 0.0172490943223238, 0.013187412172555923, 0.012420319020748138]",9.709581354400143e-05
"She smiled a small smile, which is _ rue that just curled the corners of her lips.",bitter,"['the', 'a', 'like', 'not', 'that']","[0.5928807258605957, 0.31373512744903564, 0.019171249121427536, 0.011982151307165623, 0.003961851820349693]",1.7428548744646832e-05
"The Welsh wanted none but valuable prisoners and had no interest in killing the others, since they would surely leave this place more nimbly and rapidly than the English survivors, and be the _ stars by the time another force looked for them.",inaccessible,"['shooting', 'morning', 'only', 'bright', 'shining']","[0.14121109247207642, 0.10352706164121628, 0.0908934473991394, 0.04602101817727089, 0.04522266238927841]",2.187715253398892e-08
In Darcy's Utopia money will be _ coconuts in a country where they fall from the trees: it will cease to be a corrupting cause.,meaningless,"['on', 'selling', 'for', 'in', 'from']","[0.1429722160100937, 0.08144664764404297, 0.07886599749326706, 0.07762803882360458, 0.07509100437164307]",5.0517111958470196e-05
"And I listen at the wall for sounds from Jancey, but it's a _ pillow and she's obviously gone to bed.",quiet,"['soft', 'heavy', 'thick', 'throw', 'spare']","[0.08061735332012177, 0.0778445228934288, 0.05488366633653641, 0.033445313572883606, 0.03236688673496246]",0.000121376
He was a free and _ bird as he made sure to tell her and they clearly got along well.,single,"['fair', 'loyal', 'faithful', 'loving', 'happy']","[0.12999442219734192, 0.1194722056388855, 0.061616137623786926, 0.04347085580229759, 0.03989037871360779]",6.245214899536222e-05
"Meredith, he said quietly, his voice was _ silk, your father ordered that his possessions should be burnt.",soft,"['like', 'of', 'pure', 'as', 'a']","[0.9816286563873291, 0.0017831637524068356, 0.0015746010467410088, 0.0009442102746106684, 0.0007843152852728963]",0.000212103
My hand was a _ football and throbbed with a pain that extended to the shoulder blade.,large,"['soccer', 'small', 'big', 'rubber', 'playing']","[0.06581846624612808, 0.03947325050830841, 0.037964094430208206, 0.031893301755189896, 0.025737375020980835]",0.006836578
"Her skin was _ milk, her eyes were green flecked with amber and rather slanted.",white,"['like', 'pure', 'pale', 'of', 'almost']","[0.8921778202056885, 0.030480237677693367, 0.005788698792457581, 0.005735156126320362, 0.0031348310876637697]",0.00280137
"And added my own selfish afterthought that the whores in Paris were the most skilled in the world, whilst cups of claret were _ water there.",cheap,"['drinking', 'pouring', 'like', 'the', 'serving']","[0.10534178465604782, 0.07327624410390854, 0.056893788278102875, 0.046403612941503525, 0.032294970005750656]",0.002131358
"The African is a _ ploughox, each man can do the work in this clime of two or three of men like us.",strong,"['good', 'great', 'fine', 'true', 'master']","[0.25286006927490234, 0.24249276518821716, 0.0789889395236969, 0.02163265086710453, 0.02123408392071724]",0.011280993930995464
"Jealousy, he thought, was _ fear, the same dryness of the mouth, the thudding heart, the restlessness, which destroyed appetite and peace.",physical,"['like', 'not', 'the', 'a', 'his']","[0.22985437512397766, 0.21002256870269775, 0.12984779477119446, 0.06474751234054565, 0.03391920402646065]",0.000127868
"This trowel is a _ knife or bayonet and will easily prize up any large stones, I have done this often even in rock-hard clay.",strong,"['small', 'sharp', 'long', 'short', 'simple']","[0.18312226235866547, 0.10498300939798355, 0.05985826253890991, 0.044699933379888535, 0.042278751730918884]",0.002449804
My face was a _ tomato as I was shown to my seat.,red,"['red', 'pink', 'bright', 'tomato', 'yellow']","[0.5489923357963562, 0.03973766788840294, 0.038658034056425095, 0.03227674588561058, 0.02002263441681862]",0.5489923357963562
The sheets were _ blankets and Flit was the only thing that prevented the mosquitoes descending on us like vultures.,light,"['just', 'only', 'like', 'mostly', 'all']","[0.2888111472129822, 0.09635116159915924, 0.07443505525588989, 0.06619731336832047, 0.030348846688866615]",0.001845268
"We had no means of communication with the people in the mountains, which to us were _ Tibet, and the doctor had not ventured there again in fact he was now in great danger.",remote,"['in', 'called', 'not', 'now', 'actually']","[0.4218476712703705, 0.1311303675174713, 0.07683727890253067, 0.040145792067050934, 0.01736273430287838]",0.000826363
"In spite of all this food, I was a _ rake and was as hungry as ever.",thin,"['real', 'filthy', 'good', 'complete', 'total']","[0.0856892541050911, 0.07311762124300003, 0.03713659942150116, 0.03223666548728943, 0.03095274418592453]",5.688141754944809e-05
His voice had been the _ whisper of a breeze against silk.,faint,"['soft', 'warm', 'gentle', 'faint', 'sweet']","[0.5372320413589478, 0.06226520240306854, 0.049719709903001785, 0.0409608855843544, 0.02660352550446987]",0.040960886
Susan's face was _ snow and she was shaking with cold.,white,"['like', 'with', 'in', 'of', 'dripping']","[0.3142043352127075, 0.15527401864528656, 0.12012431025505066, 0.045045606791973114, 0.037626590579748154]",0.022655030712485313
"One would be the version to be found in the published research papers, those strange constrained pieces of writing whose conventions are _ sonnet, whose scientific account is always a set of clearly designed, unambiguously conducted and conclusive observations, building from earlier data and, in their final paragraphs pointing the way to future experiments.",rigid,"['a', 'the', 'in', 'called', 'every']","[0.3152577579021454, 0.29579538106918335, 0.03284904360771179, 0.022887036204338074, 0.019890064373612404]",0.000314998
"His eyelashes were the _ teeth on a comb, extravagantly long, tar black, and his lids were gently slanted harbouring eyes of an electrifying blue.",thick,"['finest', 'longest', 'largest', 'white', 'best']","[0.26607421040534973, 0.09486209601163864, 0.061538733541965485, 0.04635389894247055, 0.040398020297288895]",0.00296305
We suddenly realized that we were _ air and couldn't think of a thing to do with this unexpected liberty.,free,"['on', 'in', 'losing', 'sharing', 'wasting']","[0.44308507442474365, 0.09637650102376938, 0.09186387807130814, 0.03597424179315567, 0.03153451159596443]",0.000903328
"This recipe is a _ pair of jeans and, we suppose, could be doctored with a handful of chocolate chips or shredded coconut, but why mess with perfection?",basic,"['casual', 'simple', 'good', 'nice', 'complete']","[0.03513287752866745, 0.03452686220407486, 0.0342126227915287, 0.031179511919617653, 0.028814807534217834]",0.002689051
"If a business is centered around your individual talents, the need for good time management should be an _ slap in the face.",obvious,"['obvious', 'immediate', 'absolute', 'easy', 'instant']","[0.18769477307796478, 0.13780398666858673, 0.10960622876882553, 0.08566340059041977, 0.06729032099246979]",0.18769477307796478
"When the two armies clashed the arrows flew in such clouds that they darkened the sky, the hooves of the chariot horses were like thunder upon Olympus, the brazen armour of the Atlanteans dazzled the eye and their spearheads seemed to be _ wheat growing in a field.",countless,"['like', 'of', 'from', 'the', 'as']","[0.9427217841148376, 0.00936545804142952, 0.005916485097259283, 0.004494298715144396, 0.0032424333039671183]",6.416231826733565e-06
"The new moon will arrive with Jupiter in close alignment, which is _ diamond.",rare,"['a', 'the', 'called', 'like', 'named']","[0.4987931251525879, 0.15452568233013153, 0.04518695920705795, 0.04235639050602913, 0.011781423352658749]",2.4074210159596987e-05
"However, fibroids can grow to be _ melon and when they get this big, they can cause a lot of pain and discomfort for the female.",big,"['a', 'large', 'like', 'pure', 'called']","[0.8740130662918091, 0.01015879213809967, 0.006368620786815882, 0.006161842495203018, 0.004875022917985916]",0.001918842
His eyes are _ fire from weeping.,red,"['on', 'like', 'red', 'a', 'catching']","[0.9875726699829102, 0.0038338552694767714, 0.0009036985575221479, 0.0008519556140527129, 0.0005477017839439213]",0.000903699
"The sky was overcast and as there was no wind, the lake was _ glass.",smooth,"['like', 'all', 'only', 'just', 'mostly']","[0.3199581503868103, 0.20461763441562653, 0.1501721739768982, 0.09692645817995071, 0.011960712261497974]",0.000519228
"When it comes to women in real life, I imagine she's a _ sheep.",gentle,"['black', 'lost', 'poor', 'big', 'little']","[0.49574464559555054, 0.04246344044804573, 0.02802331931889057, 0.013289638794958591, 0.011799264699220657]",0.000366126
"Our last glimpse of her shows her at the window, watching them receding into the sky until they were _ stars.",small,"['the', 'like', 'just', 'only', 'mere']","[0.16136081516742706, 0.15860725939273834, 0.08926849812269211, 0.06335072964429855, 0.027896273881196976]",0.007423301
"They were approximately four kilometers away from the enemies, and the fire torches were _ firefly, and it was quite impossible for them to even see the figure carrying the torches.",bright,"['a', 'like', 'of', 'all', 'the']","[0.48951447010040283, 0.08135281503200531, 0.027619335800409317, 0.02422688715159893, 0.022199299186468124]",0.004888301
"The creatures can reach an impressive 5,000 pounds and their thick skin is _ rubber.",tough,"['like', 'pure', 'almost', 'solid', 'of']","[0.9648131132125854, 0.0033835419453680515, 0.001985418377444148, 0.0014116179663687944, 0.0012793714413419366]",0.00127218
"But he was a _ mule, and instead of snatching at her bait, in wet weather he took to smoking with Joseph.",stubborn,"['pack', 'stubborn', 'poor', 'good', 'wild']","[0.07909341901540756, 0.06723892688751221, 0.05059001222252846, 0.04919682443141937, 0.028122423216700554]",0.067238927
"There's no danger, he translated, his eyes on the soothsayer's hands but the boar that we want is _ wind and as sharp as an eagle.",fast,"['the', 'like', 'a', 'pure', 'in']","[0.26647233963012695, 0.12242615967988968, 0.05027095973491669, 0.036625079810619354, 0.029530517756938934]",0.000635974
"Lola kept track of patients whose personalities were the _ weather (One minute Paul says he does not want his wife any more and the next he has changed his mind), she listened to their grievances (Josef thinks he is fit to work and look after himself says he is being kept a prisoner but he is very confused and deluded) and even mediated between doctors.",variable,"['same', 'worst', 'bad', 'right', 'wrong']","[0.20124387741088867, 0.13523004949092865, 0.13211283087730408, 0.04620370641350746, 0.045731138437986374]",8.757346222409979e-05
Her back was a _ ramrod which made her feel a little more dignified while engaging in what she considered the unladylike art of cycling.,straight,"['straight', 'natural', 'perfect', 'slight', 'gentle']","[0.08494110405445099, 0.06691162288188934, 0.05835333839058876, 0.03979276120662689, 0.030758820474147797]",0.084941104
The derelict remains of the old building were the _ weather and the bare trees dripped with melting frost like chilling tears.,bleak,"['perfect', 'worst', 'cold', 'bad', 'winter']","[0.23198121786117554, 0.10455963760614395, 0.05483971908688545, 0.044986236840486526, 0.026042692363262177]",0.000339136
"When he went to look at Anna before going to school, her eyes were once more the _ sky and she curled her fingers round his as if she didnt want to let him go.",blue,"['blue', 'night', 'same', 'winter', 'grey']","[0.43638327717781067, 0.2661311626434326, 0.029111463576555252, 0.027045143768191338, 0.014695091173052788]",0.43638327717781067
"Sarah stayed outside a few minutes longer, her spirits lifting wonderously and she was a _ robin singing among the branches of the oak tree.",happy,"['wild', 'small', 'singing', 'great', 'startled']","[0.04968467727303505, 0.047269269824028015, 0.037637680768966675, 0.0370212085545063, 0.034964971244335175]",0.010476743802428246
"When the sun played on her golden hair, it was the _ copper warming pan which Sarah put between the sheets on winter nights.",bright,"['small', 'little', 'cold', 'same', 'hot']","[0.08884886652231216, 0.08129394799470901, 0.059995297342538834, 0.059301476925611496, 0.046446625143289566]",0.012283725664019585
"When he was no more than knee high and a _ pencil, I dug him out of the wild river bank and planted him in a virginal garden, half an acre of island that consisted of nothing more luxurious or exotic than brick rubble, tilled chalk and grass seed.",slender,"['sharpened', 'thin', 'thick', 'black', 'little']","[0.12913671135902405, 0.05060756951570511, 0.03670439496636391, 0.02293838933110237, 0.021646250039339066]",0.003798313
"He made himself a _ lamb, hoping perhaps that they would give him an extra morsel of food or some other favour.",modest,"['small', 'fresh', 'roast', 'large', 'little']","[0.170424684882164, 0.14307084679603577, 0.06128019839525223, 0.04671644791960716, 0.04480273276567459]",4.7345780330942944e-05
"The sense of disappointment was a _ blow, painful out of all proportion so much so that for a moment, I was almost angry with him for not being there.",sharp,"['physical', 'hard', 'cruel', 'crushing', 'sharp']","[0.22420120239257812, 0.09288676828145981, 0.05420766398310661, 0.051107194274663925, 0.048123668879270554]",0.048123668879270554
You must be the _ reed in the fable lest by resisting the tempest like the oak you be torn up by the roots.,flexible,"['only', 'last', 'first', 'strongest', 'one']","[0.2175830751657486, 0.10229453444480896, 0.07804752141237259, 0.037025876343250275, 0.025002432987093925]",1.2583773241203744e-05
"Her body went to be a _ bowstring and when she opened her eyes and looked into his, she saw their awestruck astonishment.",tense,"['tight', 'steel', 'stiff', 'quivering', 'mere']","[0.07536015659570694, 0.035948771983385086, 0.02716033160686493, 0.02700379304587841, 0.02614356018602848]",0.004771114
"He felt he was a _ kitten, but the fever and nausea were gone.",weak,"['sleeping', 'newborn', 'dead', 'sick', 'frightened']","[0.12696558237075806, 0.12339925020933151, 0.07733189314603806, 0.05583377927541733, 0.036313269287347794]",0.005171089
The big wooden table had been scrubbed into a _ bone on the seashore.,white,"['large', 'whale', 'small', 'bare', 'smooth']","[0.06109238415956497, 0.05877293273806572, 0.03887232765555382, 0.03109898790717125, 0.03081348165869713]",0.007518065
"From then on, his manner towards me was _ ice, which caused me great pain.",cold,"['like', 'pure', 'all', 'of', 'an']","[0.9067720174789429, 0.06185166910290718, 0.00907196570187807, 0.002896042773500085, 0.0014265789650380611]",0.000455133
"The bell-lamp in the passage was a _ soap-bubble, you could see yourself in all the tables and French-polish yourself on any one of the chairs.",clear,"['giant', 'real', 'little', 'white', 'great']","[0.0335741862654686, 0.029691457748413086, 0.027077600359916687, 0.02527722902595997, 0.02391698770225048]",0.0020358
The sweater was a _ puff and as smooth as a bird to touch.,light,"['soft', 'white', 'little', 'light', 'small']","[0.11860326677560806, 0.09910430014133453, 0.08388315141201019, 0.06684738397598267, 0.03512977808713913]",0.066847384
"The nine women came behind her, their footfalls were _ birds'.",light,"['like', 'of', 'not', 'the', 'from']","[0.9204028844833374, 0.00894986093044281, 0.006231348495930433, 0.006216192152351141, 0.005836170166730881]",4.942005034536123e-05
"Lieutenant Webster the Duke's voice was a _ sword in winter, four horses instantly to the Prince of Orange 's carriage.",cold,"['great', 'heavy', 'drawn', 'silver', 'long']","[0.042006686329841614, 0.036387957632541656, 0.03384504094719887, 0.033404476940631866, 0.029945479705929756]",0.002769307
"On the other hand, he had to be _ granite inside, harder even than a brutally flamboyant exhibitionist such as Obispal - since Jaq was a guardian of those who guarded humanity an investigator of the investigators.",hard,"['hard', 'the', 'more', 'like', 'tough']","[0.2476389855146408, 0.19233721494674683, 0.1649952232837677, 0.08471457660198212, 0.038563236594200134]",0.2476389855146408
They held each other soberly and Anna noticed he was a _ ruler all bone.,thin,"['good', 'bone', 'stick', 'strong', 'stone']","[0.05525849759578705, 0.0533093623816967, 0.026380209252238274, 0.022139357402920723, 0.017946498468518257]",0.003936901
"It was not surprising that Benny had been an _ hen, walking on hot coals all summer long, never able to keep still, always jumping up with some further excitement.",excited,"['old', 'abandoned', 'angry', 'oven', 'empty']","[0.3468247354030609, 0.10257703810930252, 0.09482094645500183, 0.08504770696163177, 0.07198870182037354]",0.001160438
"To the Romanian audience for these trials (which were broadcast live on television), the lists of cartons of cigarettes or kilos of refrigerated meat were the _ tales of the riches of the Sultan in One Thousand and One Nights.",fascinating,"['famous', 'telling', 'classic', 'first', 'popular']","[0.047668248414993286, 0.04316006228327751, 0.032740604132413864, 0.026911456137895584, 0.026566149666905403]",0.00081532
"I wanted to express what a simple thing, death and burial is just the _ falling of a leaf - just a bit of earth dug up a wooden cross.",simple,"['simple', 'mere', 'slow', 'gentle', 'first']","[0.09669982641935349, 0.06867122650146484, 0.06654269248247147, 0.050123024731874466, 0.04602276161313057]",0.096699826
"During our set, the sky grew gradually darker and darker until by the last number, the sky was the _ ceiling of the Camden Falcon.",black,"['black', 'entire', 'blue', 'glass', 'gray']","[0.05108891800045967, 0.046612199395895004, 0.04356376826763153, 0.04340663552284241, 0.029461052268743515]",0.051088918
"Levy's voice is a _ shag on the floor of a sandpaper factory, the lyric is utterly ridiculous describing the popularity and stylishness of a certain fashionable item and the soprano sax added to that tender little guitar lick from the Arrested Development record just upsets your soul.",rough,"['soft', 'smooth', 'rough', 'clean', 'dull']","[0.09599374234676361, 0.05557535961270332, 0.028424827381968498, 0.02662806771695614, 0.02078254707157612]",0.028424827381968498
"For emotional resonance, flags are a _ quadrilateral of cloth.",potent,"['large', 'small', 'thin', 'rectangular', 'simple']","[0.07513841986656189, 0.061412401497364044, 0.04314350709319115, 0.038060110062360764, 0.03589194640517235]",3.6977137369831325e-06
"Don't call me that you great jerk, said Perdita, hammering her fists against his chest which was the _ ground outside.",hard,"['hard', 'cold', 'solid', 'rocky', 'level']","[0.23323722183704376, 0.09150815010070801, 0.08720559626817703, 0.029229357838630676, 0.028236955404281616]",0.23323722183704376
"When Mr Wormwood arrived back from the garage that evening, his face was a _ thunder-cloud and somebody was clearly for the high-jump pretty soon.",dark,"['red', 'huge', 'grey', 'big', 'white']","[0.08475056290626526, 0.061012983322143555, 0.04736544191837311, 0.046540163457393646, 0.029763497412204742]",0.021558151
"Plus they rely far too heavily on Chad Gracey's bionic drumming to get them noticed the tinny snare effect, soon becoming an_ catfight underneath your window at 3.00 am.",annoying,"['instant', 'intense', 'endless', 'ongoing', 'ugly']","[0.06533562391996384, 0.04745155945420265, 0.03909629210829735, 0.03712727501988411, 0.03157680109143257]",0.007864436
"Thin and tiny in stature, her back was a _ arrow, but her legs often pained her in the cooler winter and spring weather. ",straight,"['straight', 'natural', 'sharp', 'slender', 'perfect']","[0.3506007194519043, 0.2398594617843628, 0.019542017951607704, 0.017908887937664986, 0.012728997506201267]",0.3506007194519043
"He was a _ cat, having licked the cream, while Eleanor held his hand and looked concerned.",smug,"['big', 'small', 'large', 'happy', 'good']","[0.1493915319442749, 0.05227448418736458, 0.04756102338433266, 0.03429003059864044, 0.025507740676403046]",0.000232066
We can hardly tell the Finance and Executive Committee that the British are unreliable at the vehicle plants but they are the _ Rock of Gibraltar when it comes to components.,solid,"['solid', 'hard', 'real', 'whole', 'precious']","[0.17580102384090424, 0.06589188426733017, 0.04195990785956383, 0.04172750189900398, 0.03475926071405411]",0.17580102384090424
"They carted him like a scarecrow, his heels scoring the gravel, but he was a _ pig in a cart, he would never squeal without a hard prod; Donald Stewart the blacksmith had to grip his wrist to make him sign the paper.",stubborn,"['big', 'little', 'fat', 'stubborn', 'wild']","[0.06447606533765793, 0.05496518686413765, 0.05087874457240105, 0.04010326415300369, 0.029389169067144394]",0.040103264
Her face became a _ icon as if she had momentarily glimpsed the old customs of Irkutsk: a bridal party bearing skates of bone and bodices of the finest needle-point standing on the southern shore and looking across Baikal; a sallow-faced groom from Chita smoothing his first moustache and pacing the deck of an ice-locked paddle-steamer.,bright,"['cultural', 'russian', 'local', 'new', 'national']","[0.06223401054739952, 0.05563192442059517, 0.05217554792761803, 0.04517084360122681, 0.03250579535961151]",0.005098426
A virus is a _ bullet or a shell.,neutral,"['virus', 'deadly', 'live', 'viral', 'lethal']","[0.1191614419221878, 0.06354440748691559, 0.04405510053038597, 0.03971818834543228, 0.02903996966779232]",1.4730857401445974e-05
He had been a cheerful fellow in those days and life was a _ laugh on the wind or the carelessly squandered words of a song.,trivial,"['good', 'mere', 'short', 'long', 'careless']","[0.08887007087469101, 0.03877657651901245, 0.0341310016810894, 0.03012748435139656, 0.028230125084519386]",1.916593282658141e-05
The atmosphere here is _ mud she said.,thick,"['like', 'pure', 'just', 'mostly', 'all']","[0.41223710775375366, 0.06916236132383347, 0.06445856392383575, 0.060996606945991516, 0.04749738797545433]",0.005977788
Her writing is a _ sculpture and as steady and unobtrusive as breathing.,whole,"['beautiful', 'delicate', 'natural', 'gentle', 'fluid']","[0.046997442841529846, 0.03854154050350189, 0.028784630820155144, 0.02567392960190773, 0.023386770859360695]",0.000202171
"On the other hand, I've been a _ turkey in January and all because of a story I spotted in a medical magazine, stating that regular lashings of oily fish cut sharply your chances of having a heart attack.",happy,"['cold', 'dead', 'frozen', 'roast', 'damned']","[0.20014514029026031, 0.06371329724788666, 0.061471711844205856, 0.02744235470890999, 0.02187720127403736]",0.006826231
"If the water is frozen and shifts as a glacier, then it can carry entire boulders which are _ hotels hundreds of miles and gouge great scars.",big,"['carrying', 'building', 'in', 'worth', 'making']","[0.09092269837856293, 0.07570593804121017, 0.06319829076528549, 0.0393277071416378, 0.03405474126338959]",0.000474052
"I do not know whether we dragons loved her or hated her; her will was like iron, as fast clad as our scaled hides, but her heart was like a songbird in the morning and she was the _ lilies of the field.",lovely,"['wild', 'white', 'green', 'blue', 'sweet']","[0.09293519705533981, 0.086283378303051, 0.07730837911367416, 0.03509935736656189, 0.0304630808532238]",0.004715711
"No matter how carefully he sliced each shovelful in an arc out on the wind, there were certain unpredictable gusts that lifted the grains and blew them back towards the tractor. By evening, his clothes were filthy with lime; his face and hands, which are _ chalk, accentuating the inflamed red round his eyes.",white,"['like', 'painted', 'of', 'in', 'white']","[0.23310117423534393, 0.08444168418645859, 0.06056679040193558, 0.04974544048309326, 0.041031282395124435]",0.041031282395124435
"Heaps of faded, yellowing newspaper cuttings - their arguments are the _ foundations of the front-line ruins - are there to prove our lack of comprehension.",flawed,"['very', 'bare', 'solid', 'only', 'concrete']","[0.28124192357063293, 0.05163276195526123, 0.047445863485336304, 0.036721233278512955, 0.031965769827365875]",7.984018884599209e-05
For several minutes Morse looked down at the turbid turgid river and his thoughts were the _ waters below him,restless,"['other', 'soft', 'many', 'different', 'deep']","[0.03727972134947777, 0.01980806328356266, 0.019004065543413162, 0.013207503594458103, 0.012875383719801903]",8.383957901969552e-05
The compulsion to get away and not look back was a _ hand on her shoulder urging her forward.,strong,"['strong', 'firm', 'warm', 'gentle', 'soft']","[0.34236589074134827, 0.12394457310438156, 0.09102557599544525, 0.07310554385185242, 0.03769932687282562]",0.34236589074134827
His tone was the _ weather outside.,icy,"['perfect', 'bad', 'cold', 'stormy', 'calm']","[0.1828785389661789, 0.07807454466819763, 0.06982896476984024, 0.03972787410020828, 0.03010420873761177]",0.005353612
Heathcliff dropped his candle and stood without moving. His face was the _ wall behind him.,white,"['stone', 'brick', 'blank', 'cold', 'concrete']","[0.2103351354598999, 0.18131123483181, 0.04933546483516693, 0.03787962719798088, 0.029598187655210495]",0.025239229202270508
Every year is _ clockwork ever since I've been here and that's eight years.,regular,"['like', 'a', 'as', 'old', 'ticking']","[0.9946869611740112, 0.002280364977195859, 0.0004988618311472237, 0.00014427228597924113, 0.00012283773685339838]",1.778766090865247e-06
"Gage might look and act like a bronco in his den, hates to go back but set him free in a pen and he will be a _ lamb and a sweet dove .",calm,"['sweet', 'little', 'wild', 'good', 'small']","[0.2706480026245117, 0.1147134080529213, 0.03419045731425285, 0.031071150675415993, 0.028433389961719513]",8.105068263830617e-05
You will be a _ piece of dirt on the sole of my shoe.,worthless,"['big', 'tiny', 'fine', 'small', 'little']","[0.2298971265554428, 0.19178366661071777, 0.11020921170711517, 0.06409701704978943, 0.05223096162080765]",0.001993332
"Wearing the suit, she weighed three hundred kilos and felt like being a _ rhinoceros; as soon as she was outside shed feel almost weightless, and the suits systems would give her the strength of a robot while hardly affecting the speed and ease of her movements.",graceful,"['giant', 'miniature', 'hungry', 'trained', 'walking']","[0.135206401348114, 0.07538420706987381, 0.03851372376084328, 0.03610394895076752, 0.03540584072470665]",0.000125539
"She is a _ lamb and while most people are cautious when meeting her, they soon think she's wonderful.",gentle,"['beautiful', 'good', 'little', 'perfect', 'big']","[0.15308107435703278, 0.12893645465373993, 0.0902855396270752, 0.04224175214767456, 0.04150543361902237]",0.016007723286747932
